x,y,channel
330,0,inlet
330,1,inlet
330,2,inlet
330,3,inlet
330,4,inlet
330,5,inlet
330,6,inlet
330,7,inlet
330,8,inlet
330,9,inlet
330,10,inlet
330,11,inlet
330,12,inlet
330,13,inlet
330,14,inlet
330,15,inlet
330,16,inlet
330,17,inlet
330,18,inlet
330,19,inlet
330,20,inlet
330,21,inlet
330,22,inlet
330,23,inlet
330,24,inlet
330,25,inlet
330,26,inlet
330,27,inlet
330,28,inlet
330,29,inlet
330,30,inlet
330,31,inlet
330,32,inlet
330,33,inlet
330,34,inlet
330,35,inlet
330,36,inlet
330,37,inlet
330,38,inlet
330,39,inlet
330,40,inlet
330,41,inlet
330,42,inlet
330,43,inlet
330,44,inlet
330,45,inlet
330,46,inlet
330,47,inlet
330,48,inlet
330,49,inlet
330,50,inlet
330,51,inlet
330,52,inlet
330,53,inlet
330,54,inlet
330,55,inlet
330,56,inlet
330,57,inlet
330,58,inlet
330,59,inlet
330,60,inlet
330,61,inlet
330,62,inlet
330,63,inlet
330,64,inlet
330,65,inlet
330,66,inlet
330,67,inlet
330,68,inlet
330,69,inlet
330,70,inlet
330,71,inlet
330,72,inlet
330,73,inlet
330,74,inlet
330,75,inlet
330,76,inlet
330,77,inlet
330,78,inlet
330,79,inlet
330,80,inlet
330,81,inlet
330,82,inlet
330,83,inlet
330,84,inlet
330,85,inlet
330,86,inlet
330,87,inlet
330,88,inlet
330,89,inlet
330,90,inlet
330,91,inlet
330,92,inlet
330,93,inlet
330,94,inlet
330,95,inlet
330,96,inlet
330,97,inlet
330,98,inlet
330,99,inlet
330,100,inlet
330,101,inlet
330,102,inlet
330,103,inlet
330,104,inlet
330,105,inlet
330,106,inlet
330,107,inlet
330,108,inlet
330,109,inlet
330,110,inlet
330,111,inlet
330,112,inlet
330,113,inlet
330,114,inlet
330,115,inlet
330,116,inlet
330,117,inlet
330,118,inlet
330,119,inlet
330,120,inlet
330,121,inlet
330,122,inlet
330,123,inlet
330,124,inlet
330,125,inlet
330,126,inlet
330,127,inlet
330,128,inlet
330,129,inlet
330,130,inlet
330,131,inlet
330,132,inlet
330,133,inlet
330,134,inlet
330,135,inlet
330,136,inlet
330,137,inlet
330,138,inlet
330,139,inlet
330,140,inlet
330,141,inlet
330,142,inlet
330,143,inlet
330,144,inlet
330,145,inlet
330,146,inlet
330,147,inlet
330,148,inlet
330,149,inlet
330,150,inlet
330,151,inlet
330,152,inlet
330,153,inlet
330,154,inlet
330,155,inlet
330,156,inlet
330,157,inlet
330,158,inlet
330,159,inlet
330,160,inlet
330,161,inlet
330,162,inlet
330,163,inlet
330,164,inlet
330,165,inlet
330,166,inlet
330,167,inlet
330,168,inlet
330,169,inlet
330,170,inlet
330,171,inlet
330,172,inlet
330,173,inlet
330,174,inlet
330,175,inlet
330,176,inlet
330,177,inlet
330,178,inlet
330,179,inlet
330,180,inlet
330,181,inlet
330,182,inlet
330,183,inlet
330,184,inlet
330,185,inlet
330,186,inlet
330,187,inlet
330,188,inlet
330,189,inlet
330,190,inlet
330,191,inlet
330,192,inlet
330,193,inlet
330,194,inlet
330,195,inlet
330,196,inlet
330,197,inlet
330,198,inlet
330,199,inlet
330,200,inlet
330,201,inlet
330,202,inlet
330,203,inlet
330,204,inlet
330,205,inlet
330,206,inlet
330,207,inlet
330,208,inlet
330,209,inlet
330,210,inlet
330,211,inlet
330,212,inlet
330,213,inlet
330,214,inlet
330,215,inlet
331,215,right
332,215,right
333,215,right
334,215,right
335,215,right
336,215,right
337,215,right
338,215,right
339,215,right
340,215,right
341,215,right
342,215,right
343,215,right
344,215,right
345,215,right
346,215,right
347,215,right
348,215,right
349,215,right
350,215,right
351,215,right
352,215,right
